-> 0x34; 0xBE; 0xFD; 0xFF; 0xFC; 0xFF; 0xCF; 0x3C           4.418838 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xFB; 0xFF; 0xCF; 0x3C           4.46865 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xFB; 0xFF; 0xCF; 0x3C           4.518464 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xFB; 0xFF; 0xCF; 0x3C           4.56836 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xFB; 0xFF; 0xCF; 0x3C           4.619098 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xFB; 0xFF; 0xCF; 0x3C           4.667904 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xFB; 0xFF; 0xCF; 0x3C           4.717715999999999 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xFB; 0xFF; 0xCF; 0x3C           4.76753 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xFB; 0xFF; 0xCF; 0x3C           4.817342 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xFB; 0xFF; 0xCF; 0x3C           4.867188 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xFB; 0xFF; 0xCF; 0x3C           4.916968 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xFB; 0xFF; 0xCF; 0x3C           4.966781999999999 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xFB; 0xFF; 0xCF; 0x3C           5.016628 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xFB; 0xFF; 0xCF; 0x3C           5.066408 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xFB; 0xFF; 0xCF; 0x3C           5.11622 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xFB; 0xFF; 0xCF; 0x3C           5.1670419999999995 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xFB; 0xFF; 0xCF; 0x3C           5.215846 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xFB; 0xFF; 0xCF; 0x3C           5.26566 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xFB; 0xFF; 0xCF; 0x3C           5.31549 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xFB; 0xFF; 0xCF; 0x3C           5.365285999999999 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xFB; 0xFF; 0xCF; 0x3C           5.415115999999999 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xFB; 0xFF; 0xCF; 0x3C           5.465027999999999 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xFA; 0xFF; 0xCF; 0x3C           5.514724 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xFA; 0xFF; 0xCF; 0x3C           5.564538 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xFA; 0xFF; 0xCF; 0x3C           5.614368 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xFA; 0xFF; 0xCF; 0x3C           5.665272 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xFA; 0xFF; 0xCF; 0x3C           5.713994 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xFA; 0xFF; 0xCF; 0x3C           5.763806 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xFA; 0xFF; 0xCF; 0x3C           5.813619999999999 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xFA; 0xFF; 0xCF; 0x3C           5.8634319999999995 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xFA; 0xFF; 0xCF; 0x3C           5.913246 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xFA; 0xFF; 0xCF; 0x3C           5.963057999999999 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xFA; 0xFF; 0xCF; 0x3C           6.013864 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xFA; 0xFF; 0xCF; 0x3C           6.062684 (sec)
